0,1,2,3,4
-6.948552674374772,0.8471220286589132,21.7,15.6,119.0
-7.21185255550217,1.658065956980249,21.7,16.1,112.0
-6.944865046506948,2.2491886283293456,21.7,16.6,136.0
-6.469189358390033,2.0951346126903494,21.9,16.9,84.5
-5.323412071562679,2.0374699792489577,22.1,16.2,128.5
-5.565327771279988,2.2421255090248007,22.0,15.4,92.0
-5.262703216177259,1.2099400226612627,21.9,15.7,89.0
-5.757372215910526,0.7019011094602423,21.9,16.0,99.0
-5.996513429353461,0.20451574898670832,21.9,16.2,94.0
-5.579098595879853,0.48338272357568884,21.9,16.8,75.5
-4.50034027974049,0.9523325923989415,21.9,17.0,63.5
-3.1509096176390106,-2.4640958953478216,22.1,17.1,44.0
-4.199998668313706,-0.003344572185079706,21.8,17.0,56.5
-4.999902919899217,1.4286254903169302,21.8,17.1,82.0
-4.75553786645471,1.1810417438496352,21.8,17.2,60.0
-5.370895753116846,0.5598917834291074,21.8,16.8,71.5
-4.700125299290737,1.7055269481796997,21.8,17.0,59.0
-4.974765664014764,2.9818964750875825,22.1,17.3,87.5
-5.7095493656908065,2.416825612397326,22.1,17.5,96.0
-7.1421706398093185,2.8773944032484944,22.2,17.5,124.5
-7.275070965960866,3.079503602893367,22.1,17.5,93.0
-7.426197972879365,2.6947325781239257,22.0,17.7,95.0
-7.472073802048399,2.5647832455671535,22.1,17.6,107.5
-8.288055530841493,3.50829524380257,22.0,17.6,84.0
-7.768619711698017,3.4494271662142717,21.9,17.6,84.5
-7.373796755429035,3.5870770007938533,21.9,17.8,76.0
-7.435246220685117,3.457905961385833,21.9,17.6,88.5
-6.654401950021325,3.2371182690090876,21.9,17.4,85.5
-7.526115320647343,4.1614406376058435,21.9,17.2,81.0
-6.890810737704745,3.654685674190461,21.9,17.2,102.0
-6.088377814376517,6.073850145452044,22.1,17.3,102.5
-6.874772538359651,5.962172636364699,22.0,17.3,118.5
-7.70503493682241,1.2134399953628014,22.1,17.7,95.5
-6.919480154603432,1.5908470668324008,22.3,17.3,121.0
-6.895990443756481,0.2351931113347146,22.3,17.7,96.5
-5.5454711227936055,-1.699338114167461,22.1,17.6,87.0
